id,brand,model,variants,segment,price,batteryKwh,rangeKm,rangeStandard,batteryType,acCharging,dcCharging,clearanceMm,vehicleWarranty,batteryWarranty,motorWarranty,distributor,sourceUrl,officialSourceUrl,sourceTier,checkedAt
"seres-e1","Seres","E1","","City","1649000","13.8","180","WLTP","Lithium iron phosphate battery","3.3","","140","","","","","https://www.ev-nepal.com/cars/seres-e1-price-in-nepal","","market-directory","2026-07-27"
"mg-comet","MG","Comet EV","Pace · Play","City","1875000","17.3","230","ARAI","Li-ion (Prismatic Cell)","3.5 hours (7.4kW), 7 hours (3.3kW)","","","3 years or 1 Lakh kilometres","","","Paramount Motors Pvt. Ltd.","https://www.ev-nepal.com/cars/mg-comet-price-in-nepal","https://mgmotor.com.np/","official-source-linked","2026-07-27"
"henrey-volts","Henrey","Volts","","City","1995000","17","200","NEDC","","","","","","","","","https://www.ev-nepal.com/cars/henrey-volts-price-in-nepal","","market-directory","2026-07-27"
"baw-brumby","BAW","Brumby","","City","1999000","17.28","205","CLTC","LFP","3.5 - 4 hours","","","6 years or 120000 km","","","","https://www.ev-nepal.com/cars/baw-brumby-price-in-nepal","","market-directory","2026-07-27"
"lingbox-ec01","Lingbox","EC01","","City","2099000","20.7","240","NEDC","","","","","","","","","https://www.ev-nepal.com/cars/jinpeng-lingbox-ec01-price-in-nepal","","market-directory","2026-07-27"
"changan-lumin","Changan","Lumin","","City","2296000","28.08","301","NEDC","","","","","","","","MAW Vriddhi Autocorp Pvt. Ltd.","https://www.ev-nepal.com/cars/changan-lumin-price-in-nepal","","market-directory","2026-07-27"
"kaiyi-equte","Kaiyi","e-Qute","02 · 04","City","2296000","17.69","200","CLTC","","","","","","","","","https://www.ev-nepal.com/cars/kaiyi-e-qute-02-price-in-nepal","","market-directory","2026-07-27"
"wuling-air","Wuling","Air EV","Standard · Long Range","City","2499000","17.3","200","WLTP","Lithium Ferro-Phosphate","8.5 hours with 2.0 kW AC","","","","","","","https://www.ev-nepal.com/cars/wuling-air-ev-price-in-nepal","","market-directory","2026-07-27"
"tata-tiago","Tata","Tiago.ev","XT · XZ+ Tech Lux","Hatchback","2749000","24","205","MIDC","Lithium-ion","","","","3 years or 1,25,000 km (whichever is earlier)","","","Sipradi Trading Pvt. Ltd.","https://www.ev-nepal.com/cars/tata-tiago-ev-price-in-nepal","https://cars.tatamotors.com.np/","official-source-linked","2026-07-27"
"leapmotor-t03","Leapmotor","T03","","Hatchback","2899000","37.3","265","WLTP","","6.6","48 / 10-80% in 36 min (30-80%)","","3 Years or 100000 Kms","","","Shangrila Motors Pvt. Ltd.","https://www.ev-nepal.com/cars/leapmotor-t03-price-in-nepal","https://www.leapmotornepal.com/","official-source-linked","2026-07-27"
